api_path,method,domain,module,function,avg_access_time_ms,capacity_min_rps,capacity_max_rps,capacity_tag,basis,notes
/api/admin/indicator-definitions/<indicator_code>,DELETE,admin,src/web/api_core.py,api_delete_admin_indicator_definition,130,25,60,,工程估算：单次写入/更新/删除,
/api/admin/indicator-hub,GET,admin,src/web/api_core.py,api_admin_indicator_hub,260,15,40,,工程估算：聚合统计/详情拼装,
/api/admin/indicator-mapping-rules,GET,admin,src/web/api_core.py,api_admin_indicator_mapping_rules,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/indicator-mapping-rules,POST,admin,src/web/api_core.py,api_save_admin_indicator_mapping_rule,130,25,60,,工程估算：单次写入/更新/删除,
/api/admin/indicator-mapping-rules/<rule_code>,DELETE,admin,src/web/api_core.py,api_delete_admin_indicator_mapping_rule,130,25,60,,工程估算：单次写入/更新/删除,
/api/admin/indicator-raw-records,GET,admin,src/web/api_core.py,api_admin_indicator_raw_records,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/indicator-raw-records/create,POST,admin,src/web/api_core.py,api_admin_create_indicator_raw_record,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/admin/indicator-sources,GET,admin,src/web/api_core.py,api_admin_indicator_sources,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/indicator-sources,POST,admin,src/web/api_core.py,api_save_admin_indicator_source,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/admin/indicator-sources/<source_code>,DELETE,admin,src/web/api_core.py,api_delete_admin_indicator_source,130,25,60,,工程估算：单次写入/更新/删除,
/api/admin/indicator-sources/<source_code>/preview,GET,admin,src/web/api_core.py,api_admin_indicator_source_preview,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/admin/indicator-sources/landing,POST,admin,src/web/api_core.py,api_admin_execute_indicator_source_landing,2400,0.2,0.8,建议串行,工程估算：外部原始数据落地,
/api/admin/indicator-sources/test,POST,admin,src/web/api_core.py,api_test_admin_indicator_source,771,1,4,,BDD 实测均值：tests/reports/indicator_sync_bdd_report.html,
/api/admin/indicator-trace/<indicator_code>,GET,admin,src/web/api_core.py,api_admin_indicator_trace,260,15,40,,工程估算：聚合统计/详情拼装,
/api/admin/knowledge-graph,GET,admin,src/web/api_kol.py,api_admin_knowledge_graph,1400,1,3,建议异步化,工程估算：知识图谱构建/聚合较重,
/api/admin/knowledge-items,GET,admin,src/web/api_kol.py,api_admin_knowledge_items,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/site-config,GET,admin,src/web/api_core.py,api_admin_site_config,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/site-config,POST,admin,src/web/api_core.py,api_admin_site_config,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/admin/site-config/sync-llm-registry,POST,admin,src/web/api_core.py,api_admin_sync_llm_registry,1500,0.5,2,,工程估算：远端 LLM 注册表同步,
/api/admin/task-runs,GET,admin,src/web/api_core.py,api_admin_task_runs,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/tasks,GET,admin,src/web/api_core.py,api_admin_tasks,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/admin/tasks,POST,admin,src/web/api_core.py,api_save_admin_task,130,25,60,,工程估算：单次写入/更新/删除,
/api/admin/tasks/<task_code>/run,POST,admin,src/web/api_core.py,api_run_admin_task,120,20,40,后台 Worker 承压另计,工程估算：请求本身只负责参数校验+建任务,
/api/admin/token-usage,GET,admin,src/web/api_core.py,api_admin_token_usage,260,15,40,,工程估算：聚合统计/详情拼装,
/api/admin/user-jobs,GET,admin,src/web/api_core.py,api_admin_user_jobs,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/users,GET,admin,src/web/api_core.py,api_admin_users,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/users,POST,admin,src/web/api_core.py,api_create_admin_user,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/admin/users/import,POST,admin,src/web/api_core.py,api_import_admin_users,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/admin/users/import-csv,POST,admin,src/web/api_core.py,api_import_admin_users_csv,780,2,8,,工程估算：CSV 解析+批量入库,
/api/admin/users/template.csv,GET,admin,src/web/api_core.py,api_admin_users_template,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/ai-analysis,POST,ai-analysis,src/web/api_core.py,api_ai_analysis,2200,0.3,1.5,5-20 并发重任务共享,工程估算：同步 LLM / Agent 请求路径,
/api/ai/allocation,POST,ai,src/web/api_experience.py,api_ai_allocation,40,100,180,,工程估算：轻量计算+静态数据接口,
/api/ai/forecast,POST,ai,src/web/api_experience.py,api_ai_forecast,40,100,180,,工程估算：轻量计算+静态数据接口,
/api/channels,GET,channels,src/web/api_core.py,api_channels,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/community/events,GET,community,src/web/api_experience.py,api_community_events,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/community/like,POST,community,src/web/api_experience.py,api_community_like,130,25,60,,工程估算：单次写入/更新/删除,
/api/community/posts,GET,community,src/web/api_experience.py,api_community_posts,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/demo-profile/switch,POST,demo-profile,src/web/api_core.py,api_switch_demo_profile,130,25,60,,工程估算：单次写入/更新/删除,
/api/demo-profiles,GET,demo-profiles,src/web/api_core.py,api_demo_profiles,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/dm/center,GET,dm,src/web/api_experience.py,api_dm_center,140,30,80,,工程估算：多表拼装/列表查询,
/api/dm/conversations,GET,dm,src/web/api_experience.py,api_dm_conversations,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/dm/messages/<thread_id>,GET,dm,src/web/api_experience.py,api_dm_messages,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/dm/send,POST,dm,src/web/api_experience.py,api_dm_send,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/dm/threads/<thread_id>/read,POST,dm,src/web/api_experience.py,api_dm_mark_read,130,25,60,,工程估算：单次写入/更新/删除,
/api/evidence-chain/query,POST,evidence-chain,src/web/api_kol.py,api_query_evidence_chain,1300,1,3,,工程估算：证据过滤+答案整合可能进入模型,
/api/funnel,GET,funnel,src/web/api_core.py,api_funnel,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/h5/account-settings,GET,h5,src/web/api_core.py,api_h5_account_settings,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/h5/account-settings,POST,h5,src/web/api_core.py,api_h5_account_settings_save,130,25,60,,工程估算：单次写入/更新/删除,
/api/h5/help-center,GET,h5,src/web/api_core.py,api_h5_help_center,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/h5/logout,POST,h5,src/web/api_core.py,api_h5_logout,130,25,60,,工程估算：单次写入/更新/删除,
/api/hermes/analyze,POST,hermes,src/web/api_experience.py,api_hermes_analyze,40,100,180,,工程估算：轻量计算+静态数据接口,
/api/hermes/mode-detail,GET,hermes,src/web/api_experience.py,api_hermes_mode_detail,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/hermes/modes,GET,hermes,src/web/api_experience.py,api_hermes_modes,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/hermes/query,POST,hermes,src/web/api_experience.py,api_hermes_query,1200,1,3,,工程估算：当前实现含 Agent/RAG 路由；本地 Hermes BDD 轻样例均值 49ms,
/api/hermes/sessions,GET,hermes,src/web/api_experience.py,api_hermes_sessions,140,30,80,,工程估算：多表拼装/列表查询,
/api/hermes/sessions/<session_id>,GET,hermes,src/web/api_experience.py,api_hermes_session_detail,140,30,80,,工程估算：多表拼装/列表查询,
/api/hermes/usage/current,GET,hermes,src/web/api_experience.py,api_hermes_usage_current,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/jobs/<job_code>,GET,jobs,src/web/api_core.py,api_get_user_async_job,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/jobs/<job_code>/retry,POST,jobs,src/web/api_core.py,api_retry_user_async_job,130,25,60,,工程估算：单次写入/更新/删除,
/api/kol/broadcast,POST,kol,src/web/api_kol.py,api_kol_broadcast,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/kol/knowledge-graph,GET,kol,src/web/api_kol.py,api_kol_knowledge_graph,1400,1,3,建议异步化,工程估算：知识图谱构建/聚合较重,
/api/kol/knowledge/file-preview,POST,kol,src/web/api_kol.py,api_preview_kol_knowledge_file,420,3,8,,工程估算：文件读取/解析在请求链路中,
/api/kol/knowledge/ingest,POST,kol,src/web/api_kol.py,api_ingest_kol_knowledge,1100,1,3,,工程估算：知识清洗/切片/入库路径较重,
/api/kol/knowledge/manual,POST,kol,src/web/api_kol.py,api_save_kol_manual_knowledge,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/kol/knowledge/query,POST,kol,src/web/api_kol.py,api_query_kol_knowledge,850,3,10,,工程估算：向量/知识检索为主，必要时含轻模型整理,
/api/kol/knowledge/url-preview,POST,kol,src/web/api_kol.py,api_preview_kol_knowledge_url,900,1,3,,工程估算：依赖外部 URL 抓取,
/api/kol/portal-cms,POST,kol,src/web/api_kol.py,api_save_kol_portal_cms,130,25,60,,工程估算：单次写入/更新/删除,
/api/kol/reply,POST,kol,src/web/api_kol.py,api_kol_reply,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/kol/users,GET,kol,src/web/api_core.py,api_kol_users,140,30,80,,工程估算：多表拼装/列表查询,
/api/kol/users,POST,kol,src/web/api_core.py,api_create_kol_user,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/kol/users/import,POST,kol,src/web/api_core.py,api_import_kol_users,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/kol/users/import-csv,POST,kol,src/web/api_core.py,api_import_kol_users_csv,780,2,8,,工程估算：CSV 解析+批量入库,
/api/kol/users/settings,GET,kol,src/web/api_core.py,api_kol_user_settings,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/kol/users/settings,POST,kol,src/web/api_core.py,api_kol_user_settings,130,25,60,,工程估算：单次写入/更新/删除,
/api/kol/users/template.csv,GET,kol,src/web/api_core.py,api_kol_users_template,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/kol/workbench,GET,kol,src/web/api_kol.py,api_kol_workbench,140,30,80,,工程估算：多表拼装/列表查询,
/api/kols,GET,kols,src/web/api_core.py,api_kols,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/market,GET,market,src/web/api_core.py,api_market,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/revenue,GET,revenue,src/web/api_core.py,api_revenue,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/review/compose-draft,POST,review,src/web/api_kol.py,api_compose_review_draft,120,20,40,后台 Worker 承压另计,工程估算：请求本身只负责参数校验+建任务,
/api/review/generate-draft,POST,review,src/web/api_kol.py,api_generate_review_draft,120,20,40,后台 Worker 承压另计,工程估算：请求本身只负责参数校验+建任务,
/api/review/manual-embed,POST,review,src/web/api_core.py,api_review_manual_embed,480,2,6,,工程估算：文本处理+可能触发模型增强,
/api/review/polish-input,POST,review,src/web/api_kol.py,api_polish_review_input,120,20,40,后台 Worker 承压另计,工程估算：请求本身只负责参数校验+建任务,
/api/review/prepare-preview,POST,review,src/web/api_core.py,api_review_prepare_preview,120,20,40,后台 Worker 承压另计,工程估算：请求本身只负责参数校验+建任务,
/api/review/publish-embed,POST,review,src/web/api_core.py,api_review_publish_embed,120,20,40,后台 Worker 承压另计,工程估算：请求本身只负责参数校验+建任务,
/api/review/voice-transcribe,POST,review,src/web/api_core.py,api_review_voice_transcribe,180,10,20,后台 Worker 承压另计,工程估算：主请求负责文件读取+建任务,
/api/segments,GET,segments,src/web/api_core.py,api_segments,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/site-config,GET,site-config,src/web/api_core.py,api_site_config,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/tenant/<tenant_slug>/dashboard,GET,tenant,src/web/api_kol.py,api_tenant_dashboard,140,30,80,,工程估算：多表拼装/列表查询,
/api/tenant/<tenant_slug>/dashboard,POST,tenant,src/web/api_kol.py,api_save_tenant_dashboard,130,25,60,,工程估算：单次写入/更新/删除,
/api/tenant/<tenant_slug>/fan-stock-observation,GET,tenant,src/web/api_kol.py,api_tenant_fan_stock_observation,140,30,80,,工程估算：多表拼装/列表查询,
/api/tenant/<tenant_slug>/fan-stock-observation,POST,tenant,src/web/api_kol.py,api_tenant_fan_stock_observation,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/tenant/<tenant_slug>/smart-indicators,GET,tenant,src/web/api_kol.py,api_tenant_smart_indicators,140,30,80,,工程估算：多表拼装/列表查询,
/api/tenant/<tenant_slug>/smart-indicators,POST,tenant,src/web/api_kol.py,api_tenant_smart_indicators,980,1,4,,工程估算：预览/生成/保存共用一路由,
/api/tenant/<tenant_slug>/watchlist-comment-analytics,GET,tenant,src/web/api_core.py,api_watchlist_comment_analytics,260,15,40,,工程估算：聚合统计/详情拼装,
/api/user/compute-exchange,GET,user,src/web/api_experience.py,api_compute_exchange,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/user/points-rules,GET,user,src/web/api_experience.py,api_points_rules,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/user/profile,GET,user,src/web/api_experience.py,api_user_profile,25,150,250,,工程估算：纯内存/静态拼装轻接口,
/api/watchlist,GET,watchlist,src/web/api_core.py,api_watchlist,140,30,80,,工程估算：多表拼装/列表查询,
/api/watchlist/<stock_code>,GET,watchlist,src/web/api_core.py,api_watchlist_detail,260,15,40,,工程估算：聚合统计/详情拼装,
/api/watchlist/<stock_code>/annotations,GET,watchlist,src/web/api_core.py,api_watchlist_annotations,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/watchlist/<stock_code>/annotations,POST,watchlist,src/web/api_core.py,api_save_watchlist_annotation,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/watchlist/<stock_code>/annotations/<annotation_ref>,DELETE,watchlist,src/web/api_core.py,api_delete_watchlist_annotation,130,25,60,,工程估算：单次写入/更新/删除,
/api/watchlist/<stock_code>/comments,GET,watchlist,src/web/api_core.py,api_watchlist_comments,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/watchlist/<stock_code>/comments,POST,watchlist,src/web/api_core.py,api_save_watchlist_comment,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/watchlist/<stock_code>/comments/<comment_ref>,DELETE,watchlist,src/web/api_core.py,api_delete_watchlist_comment,130,25,60,,工程估算：单次写入/更新/删除,
