需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标
US011,粉丝用户,阅读复盘,作为粉丝用户，我希望阅读最新日/周复盘，以便了解大V当前主线。,业务需求,已实现,复盘,H5 复盘区 / 门户代表内容,WORKBENCH_DATA.published_reviews 前端运行时 + app.py demo 数据,否,是,部分,部分,需要,Agent 工作流可设计为：语音/文件/手写输入 -> 结构化抽取 -> 风险提示 -> 草稿生成 -> 人工确认发布。,是,知识库应支持 review 文档类型，含周期、样本池、主线、证据链、验证节点。；当前发布数据大多是硬编码/前端运行时,已存在，更新分批,是,会议把复盘定义为一期核心价值承接。,MVP核心,Batch 1（1个月内）,P0,需保留证据链和风险边界,3.5,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态
US012,大V,生产复盘草稿,作为大V，我希望通过工作台生成复盘草稿，以便更高效完成高频内容生产。,业务需求,部分实现,复盘,/kol-workbench?section=review,/api/review/generate-draft + /api/review/prepare-preview + /api/review/publish-embed + user_async_jobs,否,部分,部分,是,需要,推荐工作流：输入源采集(语音/文件/手写)->转写与解析->抽样自选股->章节草拟->证据链补齐->合规化改写->发布。,是,已形成先 Draft、再摘要与自选股归纳、再发布的链路，但 Web/H5 细节仍在持续对齐,已存在，更新分批,是,会议明确大V需要生产复盘草稿并展示初稿过程。,MVP核心,Batch 1（1个月内）,P0,需人工确认后发布，避免自动输出越界,6.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态
US013,大V,语音转复盘,作为大V，我希望口述收盘观点后自动转成复盘草稿，以便节省整理时间。,业务需求,部分实现,"复盘,语音",工作台复盘区,review_voice_transcribe 异步任务 + 后台进度日志 + 发布链路；仍缺完整复盘内容库,否,部分,否,是,需要,ASR -> 段落切分 -> 主线识别 -> 股票实体抽取 -> 草稿排版。,是,知识库要能存 transcript、speaker_note、normalized_summary。；已接入异步转写与进度显示，但内容资产层仍待补全,已存在，更新分批,是,语音是会议讨论的复盘输入形态之一，但可后置。,二期,Batch 2（1个月后）,P1,依赖转写质量与结构化抽取,5.5,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化
US014,大V,上传文件生成复盘,作为大V，我希望上传研报/纪要/PDF 后自动生成复盘初稿。,业务需求,部分实现,"复盘,文件",工作台复盘区,文件预览与文本抽取已接入；复盘场景仍待统一到 review 发布库与正式模板流,否,部分,否,是,需要,文件解析 -> OCR/PDF 抽取 -> 段落摘要 -> 观点去重 -> 复盘模板填充。,是,知识库应支持 source_file、page_reference、chunk_embedding、citation。；文件处理能力已有基础，但复盘链路仍未完全闭环,已存在，更新分批,是,会议强调引用资讯、共享材料、文件证据链。,MVP受限开放,Batch 1.5（灰度）,P1,依赖文件解析、引用标注与版权边界,5.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US015,粉丝用户,通过消息向大V提问,作为粉丝用户，我希望给所属大V发消息和追问，以便持续交流。,业务需求,已实现,消息,H5 消息区,/api/dm/center /api/dm/messages/<thread_id> /api/dm/send + Postgres 会话与消息记录,否,否,否,部分,可选,后续可接 Agent 做自动草拟回复、问题归类、优先级排序。,是,粉丝侧已区分大V对话与系统消息，支持继续追问,已存在，更新分批,是,会议认为开放式互动初期要克制，避免大V被大量留言淹没。,MVP受限开放,Batch 1.5（灰度）,P1,先做定向提问与限流，不做完全开放留言,2.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US016,大V,在工作台处理粉丝消息,作为大V，我希望统一查看和回复所属租户粉丝消息，以便经营关系。,业务需求,废弃,消息,原工作台 messages/H5 DM（当前已移除工作台入口）,当前大V工作台已移除粉丝消息中心展示，消息处理不再作为本阶段工作台能力推进,否,部分,部分,部分,可选,Agent 可做消息分流：复盘追问/个股问答/付费意向/活动转化。,是,大V工作台中的粉丝消息板块已按新产品口径移除，消息统一回到 H5 消息页,已存在，更新分批,是,工作台消息处理应在一期后灰度开放，而非默认全面开放。,MVP受限开放,Batch 1.5（灰度）,P1,需消息分层、优先级和模板回复,2.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US017,大V,群发复盘提醒,作为大V，我希望群发复盘或活动提醒给粉丝，以便提升触达。,业务需求,废弃,消息,原工作台 broadcast（当前已移除）,当前大V工作台已移除群发助手与群发历史展示，仅保留复盘发布后的系统通知链路,否,部分,否,部分,可选,Agent 可生成不同粉丝层级的文案版本，并做发送时机优化。,是,群发提醒与广播助手已从当前产品范围移除，不再推进,已存在，更新分批,否,一对多复盘提醒比双向互动更适合前期灰度。,MVP受限开放,Batch 1.5（灰度）,P1,建议仅限复盘发布/活动提醒,2.5,2026-09-18,2026-09-18,W8 灰度互动二期,补齐群发与互动触达的灰度能力
US018,粉丝用户,与Hermes进行个股分析,作为粉丝用户，我希望让 Hermes 基于股票和租户上下文输出结构化分析。,业务需求,已实现,"Hermes,自选股",H5 Hermes,/api/hermes/query + Hermes Agent 工作流 + watchlist.detail / knowledge.search / dashboard.context 工具链,否,部分,部分,部分,需要,建议 Agent 工作流：意图识别 -> 实体识别 -> 拉取知识/行情/财报 -> 推理 -> 结构化输出 -> 风险提示。,是,已支持个股/指数/指标问答、可视化意图识别、思考过程展示和知识优先检索,已存在，更新分批,是,会议把智能体定位为长期方向，但个股分析不放在首月核心。,二期,Batch 2（1个月后）,P1,高合规风险；需接真实Agent与知识库,2.0,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化
US019,粉丝用户,与Hermes纯对话,作为粉丝用户，我希望不输入股票代码也能与 Hermes 纯对话，并承接租户方法论。,业务需求,已实现,Hermes,H5 Hermes lobster 模式,/api/hermes/query + 会话记忆/用户记忆 + 范围守卫 + 意图路由；前端保留 skill 与建议问题交互,否,部分,是,部分,需要,对话 Agent：问题分类 -> 关联 Skill -> 知识检索 -> 结构化回答/追问建议。,是,已支持研究型纯对话，但自定义 skill 仍有部分前端本地状态,已存在，更新分批,是,纯对话智能体属于平台长期价值，不是一期必需。,二期,Batch 2（1个月后）,P1,需租户级上下文、意图识别和风控,2.0,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化
US020,大V,新增自定义Skill,作为大V，我希望把自己的研究动作沉淀成自定义 Skill，并绑定知识库。,业务需求,废弃,Hermes,H5 Hermes 自定义 Skill 弹窗,H5 自定义 skill 弹窗 + localStorage HERMES_CUSTOM_SKILL_STORAGE_KEY；尚未持久化为租户级后端资产,否,否,是,部分,需要,Skill Agent 编排：skill prompt + linked knowledge + answer formatter。,是,Hermes 已转向固定能力路由与工作流治理，不再以“自定义 Skill”作为主交互,已存在，更新分批,否,自定义Skill属于智能体深化能力，可后置。,三期,Batch 3（商业化/生态）,P2,依赖稳定Skill协议和权限模型,2.5,2026-10-04,2026-10-08,W12 三期生态,处理社区、Skill 生态和内容分发等扩展能力
US021,大V,维护知识库条目,作为大V，我希望维护自己的知识库条目，并让 Hermes 持续使用。,业务需求,部分实现,知识库,工作台 knowledge / H5 Hermes,/api/kol/knowledge/manual /api/kol/knowledge/ingest /api/admin/knowledge-items + Postgres/pgvector,否,否,部分,是,需要,知识 Agent：采集 -> 切分 -> 摘要 -> 标签 -> 验证节点抽取 -> 入库 -> 召回。,是,知识专区与图谱能力已纳入当前方向，但编辑体验与治理面仍在补齐,已存在，更新分批,是,会议把知识库沉淀定义为产品最大价值之一。,MVP核心,Batch 1（1个月内）,P0,需先定义知识结构与版本机制,6.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态
US022,大V,微调历史知识内容,作为大V，我希望点开历史知识条目继续修改和微调，以便持续优化知识资产。,业务需求,部分实现,知识库,工作台 knowledge,知识条目编辑 + 异步入库已接入；仍缺完整 revision history 与修改审计,否,部分,部分,是,需要,编辑 Agent 可辅助重写、去噪、结构化、加验证节点。,是,已有知识录入与查询，但历史知识的精细化编辑、版本化与回滚仍未完整落地,已存在，更新分批,是,历史内容微调直接对应会议中的历史观点沉淀需求。,MVP核心,Batch 1（1个月内）,P1,需保留来源、版本和修改人,3.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态
US023,大V,让知识条目被Hermes引用,作为大V，我希望知识条目可被 Skill 和 Hermes 自动命中，以便输出更像我。,业务需求,已实现,"Hermes,知识库",H5 Hermes,Hermes 工具链已接入 knowledge.search / 向量召回 / 租户知识优先检索，自定义 skill 仍保留 linkedKnowledgeIds 辅助绑定,否,部分,是,是,需要,检索 Agent：query rewrite -> hybrid search -> rerank -> evidence assembly。,是,知识条目已能被 Hermes 正式召回，不再只是前端关键词命中,已存在，更新分批,是,知识被Hermes引用是二期智能体闭环的一部分。,二期,Batch 2（1个月后）,P1,依赖检索、引用和可解释输出,3.0,2026-09-26,2026-09-30,W10 二期预测与知识引用,补齐知识引用、预测配置和结果展示
US024,平台Admin,管理租户,作为平台管理员，我希望新增和修改租户，以便支持多个大V独立运营。,业务需求,已实现,"Admin,租户",/admin,site_config.tenants -> Postgres app_settings,否,否,否,否,,否,,一个大V就是一个租户,已存在，更新分批,否,一个大V就是一个租户，租户管理是一切交付前提。,MVP核心,Batch 1（1个月内）,P0,需和门户/工作台权限完全一致,3.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US025,平台Admin,管理用户,作为平台管理员，我希望新增、导入和查看用户，以便管理粉丝、大V和管理员账户。,业务需求,已实现,"Admin,用户",/admin,/api/admin/users + Postgres users 表,否,否,否,否,,否,,create/import/list 已落地,已存在，更新分批,否,导入和管理用户是首月基本运营底座。,MVP核心,Batch 1（1个月内）,P0,需支撑粉丝导入与后续分层,3.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US026,平台Admin,控制功能开关,作为平台管理员，我希望通过 feature flag 控制 Hermes/预测/工作台等能力开放节奏。,业务需求,已实现,"Admin,配置",/admin,/api/admin/site-config -> Postgres app_settings.site_config.feature_flags,否,否,否,否,,否,,已支持 Hermes 范围约束、角色开放、功能菜单联动等开关,已存在，更新分批,是,会议明确功能要分期和控开，因此开关体系必须先到位。,MVP核心,Batch 1（1个月内）,P0,需支持只读/互动/Hermes分级开关,3.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US027,平台Admin,查看访问审计,作为平台管理员，我希望查看访问日志和统计，以便审计平台使用情况。,业务需求,已实现,"Admin,审计",/admin,/api/admin/access-stats + /api/admin/access-logs + Postgres access_logs,否,否,否,否,,否,,访问日志真实写库,已存在，更新分批,否,访问审计是水印追溯和运营分析的基础。,MVP核心,Batch 1（1个月内）,P1,需保留用户、时间、页面访问链路,2.5,2026-09-03,2026-09-06,W6 导粉与验收缓冲,完成导粉、审计、端到端联调和 MVP 上线前验收
US028,平台Admin,配置预测工作流,作为平台管理员，我希望定义预测算法工作流与参数，以便统一控制预测逻辑。,技术需求,已实现,"预测,工作流",/admin forecast,/api/admin/forecast-config + Postgres app_settings.forecast_workflow_graph,否,否,否,部分,需要,Forecast Agent/Workflow：source -> raw_signal -> clip -> volatility_cap -> backtest_blend -> confidence_guard -> output。,否,预测工作流图配置已可维护，但仍是参数化预测流，不是独立预测引擎,已存在，更新分批,否,预测工作流按既定规划放到二期。,二期,Batch 2（1个月后）,P2,依赖模型、回测和解释层,4.0,2026-09-26,2026-09-30,W10 二期预测与知识引用,补齐知识引用、预测配置和结果展示
US029,粉丝用户,查看预测结果,作为粉丝用户，我希望看到基本面判断/预测结果，但仅在平台开放时可用。,业务需求,部分实现,预测,H5 个股详情,/api/watchlist/<stock_code> 返回 forecast；feature_flag 可关闭,否,部分,否,部分,需要,真实预测需接行情/财务/回测 Agent 或计算服务。,是,预测结果可查看，但属于受控能力，工作流解释与多模型治理仍有限,已存在，更新分批,否,预测结果查看不进入首月MVP。,二期,Batch 2（1个月后）,P2,需置信度、历史回测与免责声明,4.0,2026-09-26,2026-09-30,W10 二期预测与知识引用,补齐知识引用、预测配置和结果展示
US030,大V,查看经营Dashboard,作为大V，我希望查看粉丝增长、消息分布、发布趋势等经营指标，以便判断运营情况。,业务需求,部分实现,"Dashboard,经营",工作台 biz-dashboard,工作台经营卡片 + /api/tenant/<tenant_slug>/watchlist-comment-analytics + 访问统计聚合,否,是,否,部分,可选,Agent 可做经营洞察总结，但基础看板不强依赖。,否,本月协同收入、付费样本、个股留言、今日浏览已接入真实聚合；更完整经营分析仍待补齐,已存在，更新分批,否,固定Dashboard是门户中部的标准承接模块。,MVP核心,Batch 1（1个月内）,P1,先固定模板，避免首月过度智能化,2.5,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态
US031,大V,定义智能Dashboard与提示词面板,作为大V，我希望用提示词、布局和指标槽位定义智能 Dashboard，并清楚展示当前提示词配置，以便把基本面研究框架产品化。,业务需求,已实现,"Dashboard,指标",工作台 dashboard / H5 基本面顶部,/api/tenant/<tenant_slug>/dashboard + fund_dashboard_config(Postgres app_settings) + indicator_definitions/formula_js 智能指标入库,否,部分,是,是,面板 Agent：读取提示词槽位 -> 解析指标语义 -> 拉取候选数据 -> 生成 panel schema -> 产出展示卡片与说明文案。,是,知识库可存 dashboard_prompt、metric_semantics、panel_examples、watchlist_theme_binding。,已具备布局选择、草稿/发布态、智能指标预览确认后持久化、H5/Web 同步展示,已存在，更新分批,是,基本面首页需要由大V可定义的研究框架驱动，智能Dashboard应作为基本面重要组成。,MVP核心,Batch 1（1个月内）,P0,需先完成配置持久化与提示词展示协议，避免只停留在演示态,6.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态
US032,粉丝用户,查看社区与活动,作为粉丝用户，我希望浏览社区帖子和活动，以便参与平台互动。,业务需求,部分实现,社区,H5 community,/api/community/* 仍返回演示数据，且 feature_flag community 默认关闭,否,是,否,否,,否,,仅保留演示入口，未进入当前主线产品交付,已存在，更新分批,否,社区/活动不在本次会议优先级内。,三期,Batch 3（商业化/生态）,P2,默认继续关闭，避免运营负担,2.0,2026-10-04,2026-10-08,W12 三期生态,处理社区、Skill 生态和内容分发等扩展能力
US033,大V,扫码导入粉丝,作为大V，我希望通过扫码和联系方式承接粉丝，以便导入到自己的租户体系。,业务需求,未完成,"用户,导入",门户 contact / 工作台说明,UI与文案已实现，无真实扫码导入流程,否,是,否,部分,可选,Agent 可做导入后欢迎流程和首轮问答引导。,是,当前已有用户导入模板与 CSV 导入，但扫码导入流程尚未建设,已存在，更新分批,否,粉丝扫码导入已被明确列入首月MVP。,MVP核心,Batch 1（1个月内）,P0,需和租户归属、渠道标记联动,6.0,2026-09-03,2026-09-06,W6 导粉与验收缓冲,完成导粉、审计、端到端联调和 MVP 上线前验收
US034,平台方,让门户/H5/工作台/Admin 口径一致,作为平台方，我希望不同端的角色和能力边界保持一致，以便避免产品叙事混乱。,技术需求,已实现,多端一致性,首页/各端,多处模板与 gen_kol_workbench 文案/结构统一,否,部分,否,否,,否,,属于产品一致性实现,已存在，更新分批,否,多端口径一致是当前产品设计主线。,MVP核心,Batch 1（1个月内）,P0,需统一租户配置和展示协议,4.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US035,大V,维护租户品牌与门户配置,作为大V或平台方，我希望租户品牌配置和门户配置归属于租户详情，而不是散落在系统设置。,业务需求,部分实现,"门户,品牌",admin + portal cms,品牌配置、门户 CMS、租户基础资料均已进入 Postgres app_settings/site_config，但后台字段体系仍可继续深化,否,部分,否,否,,否,,租户详情页语义已调整，但后台结构仍可继续深化,已存在，更新分批,否,租户品牌与门户配置是租户详情页的核心组成。,MVP核心,Batch 1（1个月内）,P1,需从系统设置中彻底收拢到租户管理,5.0,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路
US036,技术平台,构建真实知识库数据层,作为技术平台，我希望知识库不再只是硬编码和前端状态，而是有正式存储、版本、检索和绑定关系。,技术需求,部分实现,"知识库,数据层",工作台 knowledge / 证据链查询 / 向量入库,知识录入、编辑、向量化、召回和证据链查询已接入；仍缺完整 revisions / relations / skill bindings 资产层,否,部分,部分,是,需要,建议工作流：ingest -> normalize -> chunk -> entity/tag extraction -> embed -> store -> bind to skills -> retrieve -> feedback loop。,是,主库已统一以 Postgres 为口径，向量检索与知识问答已接入，但知识清洗/治理仍在演进,已存在，更新分批,是,会议把知识库沉淀定为长期核心，因此真实数据层要前置。,MVP核心,Batch 1（1个月内）,P0,是知识库、复盘、智能体共用底座,9.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US037,技术平台,构建真实Agent编排层,作为技术平台，我希望把 Hermes、复盘、知识处理、消息辅助等能力接到统一 Agent 编排层。,技术需求,部分实现,"Agent,工作流",异步任务中心 / 证据链查询 / 复盘生成链路,当前已具备 user_async_jobs、证据链过滤与问答、复盘生成等受限编排；仍缺统一 orchestrator、工具协议和跨能力审计编排层,否,部分,否,是,需要,统一 Agent Orchestrator：intent router / retrieval / tool calling / structured output / human-in-the-loop / audit log。,是,Hermes、证据链、复盘、指标等已进入工作流化方向，但并非所有智能体都已完全统一到同一框架,已存在，更新分批,是,会议把智能体定位为大V的24小时服务能力，但首期可做受限编排。,MVP受限开放,Batch 1.5（灰度）,P0,先支撑复盘/知识问答，再扩展到Hermes,8.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排
US038,技术平台,把前端 localStorage 状态迁移到后端,作为技术平台，我希望把自选股、K线标注、自定义 Skill、知识微调等前端状态迁移到服务端，以便跨端同步和可审计。,技术需求,未完成,"架构,状态",多处前端,当前 localStorage 为主,否,否,是,部分,可选,Agent 不必须，但迁移后才能支持更完整工作流和协同。,是,迁移后知识与 skill 才能真正形成租户级长期资产。；这是从 demo 到产品化的关键一步,已存在，更新分批,否,localStorage状态不迁移，租户资产就无法长期沉淀。,MVP核心,Batch 1（1个月内）,P1,优先迁移自选股、标注、Skill配置,8.0,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US039,平台产品,开启一期只读模式,作为平台产品，我希望一期以前台只读内容承接为主，减少大V实时互动负担，以便先验证内容价值与转化路径。,业务需求,部分实现,"配置,合规",Admin 功能控开 / 门户 / H5 / 工作台菜单,当前已可通过 feature flag 隐藏部分互动入口和左侧菜单；仍缺租户级一键只读模式编排与更细粒度留言开关,否,否,否,否,,否,,已能通过 feature flag 隐藏部分互动入口和菜单，但还没有真正的一键租户只读模式,新增,是,会议明确一阶段优先只读效果，互动功能初期暂不全面开放。,MVP核心,Batch 1（1个月内）,P0,降低客服压力与合规暴露面,8.0,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工
US040,大V,自动归纳粉丝共性问题,作为大V，我希望系统自动聚合同类粉丝提问并生成待回复问题列表，以便只处理高频问题。,业务需求,未完成,"消息,Agent",工作台消息中心 / Agent 编排层,当前无问题聚类、摘要和待办队列,否,否,否,是,消息采集 -> 意图识别 -> 相似问题聚类 -> 摘要生成 -> 待大V确认回复 -> 模板回灌知识库,是,需要 question_cluster、intent、canonical_answer、reply_template 四类对象。,可作为互动能力开放前的缓冲层,新增,是,会议提出若能自动归纳用户提问，后续可考虑开放互动。,二期,Batch 2（1个月后）,P1,依赖消息数据沉淀和Agent聚类能力,6.5,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化
US041,平台管理员,付费内容水印与盗版追溯,作为平台管理员，我希望对付费内容叠加用户标识水印并支持追溯，以便识别截图外传与盗版账号。,技术需求,未完成,"合规,审计",H5 付费内容页 / 图片导出层 / Admin 审计,当前无动态水印、无盗版追溯链路,否,否,否,否,,否,,建议水印包含用户ID、时间戳、租户、渠道来源，并与访问日志关联,新增,是,会议明确提出截图传播风险，需要类似飞书的浅显动态水印。,MVP受限开放,Batch 2（收费能力开放前）,P1,依赖登录态、付费态、访问审计和封禁流程,7.5,2026-10-01,2026-10-03,W11 收费前安全能力,在收费前补上水印与盗版追溯
US042,运营/大V助理,多平台内容分发助手,作为运营或大V助理，我希望把复盘和内容摘要快速分发到多个平台，以便扩大获客和转化。,业务需求,未完成,"运营,分发",工作台发布中心 / 运营后台,当前仍依赖人工分发，无统一素材包与渠道模板,否,否,否,部分,内容摘要 -> 渠道改写 -> 人工确认 -> 多平台分发记录,是,可沉淀 channel_template、distribution_asset、campaign_result。,会议认为现阶段助理人工可完成，转化效果与人力成本需后续验证,新增,是,会议提到当前已有助理分发，但后续仍需评估转化与人力成本。,三期,Batch 3（商业化/生态）,P2,依赖渠道策略、素材模板和运营归因,6.0,2026-10-04,2026-10-08,W12 三期生态,处理社区、Skill 生态和内容分发等扩展能力
