需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标,代码实现状态,实现证据（代码/BDD/迁移）,实现活动时间范围（Git）,审计结论,Codex Token 输入（会话估算）,Codex Token 输出（会话估算）,Codex Token 总计（会话估算）,Token 数据质量,Codex 会话归因开始时间,Codex 会话归因结束时间,Codex 累计会话运行时长（小时）,会话归因人天（8小时）,工时数据质量,关联Bug数,关联Bug编号,最后审计时间,审计基线提交
US011,粉丝用户,阅读复盘,作为粉丝用户，我希望阅读最新日/周复盘，以便了解大V当前主线。,业务需求,已实现,复盘,H5 复盘区 / 门户代表内容,WORKBENCH_DATA.published_reviews 前端运行时 + app.py demo 数据,否,是,部分,部分,需要,Agent 工作流可设计为：语音/文件/手写输入 -> 结构化抽取 -> 风险提示 -> 草稿生成 -> 人工确认发布。,是,知识库应支持 review 文档类型，含周期、样本池、主线、证据链、验证节点。；当前发布数据大多是硬编码/前端运行时,已存在，更新分批,是,会议把复盘定义为一期核心价值承接。,MVP核心,Batch 1（1个月内）,P0,需保留证据链和风险边界,3.5,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态,已实现,src/web/api_core.py；templates/h5.html,2026-06-07 至 2026-09-18,粉丝端可读已发布复盘。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US012,大V,生产复盘草稿,作为大V，我希望通过工作台生成复盘草稿，以便更高效完成高频内容生产。,业务需求,部分实现,复盘,/kol-workbench?section=review,/api/review/generate-draft + /api/review/prepare-preview + /api/review/publish-embed + user_async_jobs,否,部分,部分,是,需要,推荐工作流：输入源采集(语音/文件/手写)->转写与解析->抽样自选股->章节草拟->证据链补齐->合规化改写->发布。,是,已形成先 Draft、再摘要与自选股归纳、再发布的链路，但 Web/H5 细节仍在持续对齐,已存在，更新分批,是,会议明确大V需要生产复盘草稿并展示初稿过程。,MVP核心,Batch 1（1个月内）,P0,需人工确认后发布，避免自动输出越界,6.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态,部分实现,src/web/api_kol.py；src/domain/review_services.py,2026-08-31 至 2026-09-18,草稿、AI 优化和审核流已存在；生产流程需持续回归。,1740,2994,4734,项目会话可见文本离线估算；12轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-19 10:55:45,2026-09-16 15:47:59,0.45,0.056,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US013,大V,语音转复盘,作为大V，我希望口述收盘观点后自动转成复盘草稿，以便节省整理时间。,业务需求,部分实现,"复盘,语音",工作台复盘区,review_voice_transcribe 异步任务 + 后台进度日志 + 发布链路；仍缺完整复盘内容库,否,部分,否,是,需要,ASR -> 段落切分 -> 主线识别 -> 股票实体抽取 -> 草稿排版。,是,知识库要能存 transcript、speaker_note、normalized_summary。；已接入异步转写与进度显示，但内容资产层仍待补全,已存在，更新分批,是,语音是会议讨论的复盘输入形态之一，但可后置。,二期,Batch 2（1个月后）,P1,依赖转写质量与结构化抽取,5.5,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化,部分实现,src/web/api_kol.py；src/domain/knowledge_graph_services.py,2026-07-12 至 2026-09-18,语音作为知识录入类型，转写依赖外部能力。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US014,大V,上传文件生成复盘,作为大V，我希望上传研报/纪要/PDF 后自动生成复盘初稿。,业务需求,部分实现,"复盘,文件",工作台复盘区,文件预览与文本抽取已接入；复盘场景仍待统一到 review 发布库与正式模板流,否,部分,否,是,需要,文件解析 -> OCR/PDF 抽取 -> 段落摘要 -> 观点去重 -> 复盘模板填充。,是,知识库应支持 source_file、page_reference、chunk_embedding、citation。；文件处理能力已有基础，但复盘链路仍未完全闭环,已存在，更新分批,是,会议强调引用资讯、共享材料、文件证据链。,MVP受限开放,Batch 1.5（灰度）,P1,依赖文件解析、引用标注与版权边界,5.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,部分实现,src/web/api_kol.py: knowledge/file-preview；src/domain/knowledge_graph_services.py,2026-07-12 至 2026-09-18,文件预览与入库存在，文件解析范围依赖格式/外部服务。,541,1738,2278,项目会话可见文本离线估算；7轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 13:03:28,2026-07-29 11:16:19,1.82,0.227,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US015,粉丝用户,通过消息向大V提问,作为粉丝用户，我希望给所属大V发消息和追问，以便持续交流。,业务需求,已实现,消息,H5 消息区,/api/dm/center /api/dm/messages/<thread_id> /api/dm/send + Postgres 会话与消息记录,否,否,否,部分,可选,后续可接 Agent 做自动草拟回复、问题归类、优先级排序。,是,粉丝侧已区分大V对话与系统消息，支持继续追问,已存在，更新分批,是,会议认为开放式互动初期要克制，避免大V被大量留言淹没。,MVP受限开放,Batch 1.5（灰度）,P1,先做定向提问与限流，不做完全开放留言,2.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,已实现,src/web/api_core.py；src/domain/dm_services.py,2026-05-20 至 2026-09-18,站内消息与互动记录已实现。,3960,22452,26412,项目会话可见文本离线估算；45轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-01 13:04:11,2026-09-16 23:29:21,1.92,0.241,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US016,大V,在工作台处理粉丝消息,作为大V，我希望统一查看和回复所属租户粉丝消息，以便经营关系。,业务需求,废弃,消息,原工作台 messages/H5 DM（当前已移除工作台入口）,当前大V工作台已移除粉丝消息中心展示，消息处理不再作为本阶段工作台能力推进,否,部分,部分,部分,可选,Agent 可做消息分流：复盘追问/个股问答/付费意向/活动转化。,是,大V工作台中的粉丝消息板块已按新产品口径移除，消息统一回到 H5 消息页,已存在，更新分批,是,工作台消息处理应在一期后灰度开放，而非默认全面开放。,MVP受限开放,Batch 1.5（灰度）,P1,需消息分层、优先级和模板回复,2.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,废弃,需求表确认废弃；当前采用统一消息/互动洞察。,不适用,不再按旧工作台处理模型建设。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US017,大V,群发复盘提醒,作为大V，我希望群发复盘或活动提醒给粉丝，以便提升触达。,业务需求,废弃,消息,原工作台 broadcast（当前已移除）,当前大V工作台已移除群发助手与群发历史展示，仅保留复盘发布后的系统通知链路,否,部分,否,部分,可选,Agent 可生成不同粉丝层级的文案版本，并做发送时机优化。,是,群发提醒与广播助手已从当前产品范围移除，不再推进,已存在，更新分批,否,一对多复盘提醒比双向互动更适合前期灰度。,MVP受限开放,Batch 1.5（灰度）,P1,建议仅限复盘发布/活动提醒,2.5,2026-09-18,2026-09-18,W8 灰度互动二期,补齐群发与互动触达的灰度能力,废弃,需求表确认废弃；播报改由 daily_finance_broadcast。,不适用,不维护旧群发复盘提醒。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US018,粉丝用户,与Hermes进行个股分析,作为粉丝用户，我希望让 Hermes 基于股票和租户上下文输出结构化分析。,业务需求,已实现,"Hermes,自选股",H5 Hermes,/api/hermes/query + Hermes Agent 工作流 + watchlist.detail / knowledge.search / dashboard.context 工具链,否,部分,部分,部分,需要,建议 Agent 工作流：意图识别 -> 实体识别 -> 拉取知识/行情/财报 -> 推理 -> 结构化输出 -> 风险提示。,是,已支持个股/指数/指标问答、可视化意图识别、思考过程展示和知识优先检索,已存在，更新分批,是,会议把智能体定位为长期方向，但个股分析不放在首月核心。,二期,Batch 2（1个月后）,P1,高合规风险；需接真实Agent与知识库,2.0,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化,已实现,src/domain/ai_services.py；tests/test_hermes_gangtise_capabilities.py,2026-07-11 至 2026-09-18,Hermes 个股分析通过受控工具链执行。,929,3025,3953,项目会话可见文本离线估算；9轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-08-07 15:00:17,2026-09-16 03:33:54,0.50,0.062,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US019,粉丝用户,与Hermes纯对话,作为粉丝用户，我希望不输入股票代码也能与 Hermes 纯对话，并承接租户方法论。,业务需求,已实现,Hermes,H5 Hermes lobster 模式,/api/hermes/query + 会话记忆/用户记忆 + 范围守卫 + 意图路由；前端保留 skill 与建议问题交互,否,部分,是,部分,需要,对话 Agent：问题分类 -> 关联 Skill -> 知识检索 -> 结构化回答/追问建议。,是,已支持研究型纯对话，但自定义 skill 仍有部分前端本地状态,已存在，更新分批,是,纯对话智能体属于平台长期价值，不是一期必需。,二期,Batch 2（1个月后）,P1,需租户级上下文、意图识别和风控,2.0,2026-09-19,2026-09-25,W9 二期智能体,做语音复盘、问题归纳和 Hermes 深化,已实现,src/web/api_core.py；src/domain/ai_services.py,2026-07-11 至 2026-09-18,Hermes 对话、会话和回答合成已实现。,21296,137740,159036,项目会话可见文本离线估算；284轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-01 12:49:31,2026-09-18 02:32:03,18.35,2.294,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US020,大V,新增自定义Skill,作为大V，我希望把自己的研究动作沉淀成自定义 Skill，并绑定知识库。,业务需求,废弃,Hermes,H5 Hermes 自定义 Skill 弹窗,H5 自定义 skill 弹窗 + localStorage HERMES_CUSTOM_SKILL_STORAGE_KEY；尚未持久化为租户级后端资产,否,否,是,部分,需要,Skill Agent 编排：skill prompt + linked knowledge + answer formatter。,是,Hermes 已转向固定能力路由与工作流治理，不再以“自定义 Skill”作为主交互,已存在，更新分批,否,自定义Skill属于智能体深化能力，可后置。,三期,Batch 3（商业化/生态）,P2,依赖稳定Skill协议和权限模型,2.5,2026-10-04,2026-10-08,W12 三期生态,处理社区、Skill 生态和内容分发等扩展能力,废弃,需求表确认废弃；现行能力使用受治理的功能级模型与工作流。,不适用,不开放任意自定义 Skill。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US021,大V,维护知识库条目,作为大V，我希望维护自己的知识库条目，并让 Hermes 持续使用。,业务需求,部分实现,知识库,工作台 knowledge / H5 Hermes,/api/kol/knowledge/manual /api/kol/knowledge/ingest /api/admin/knowledge-items + Postgres/pgvector,否,否,部分,是,需要,知识 Agent：采集 -> 切分 -> 摘要 -> 标签 -> 验证节点抽取 -> 入库 -> 召回。,是,知识专区与图谱能力已纳入当前方向，但编辑体验与治理面仍在补齐,已存在，更新分批,是,会议把知识库沉淀定义为产品最大价值之一。,MVP核心,Batch 1（1个月内）,P0,需先定义知识结构与版本机制,6.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态,部分实现,src/web/api_kol.py: /api/kol/knowledge/*；src/domain/knowledge_graph_services.py,2026-07-12 至 2026-09-18,知识录入和资产浏览存在，功能开关当前默认收敛。,8770,36225,44996,项目会话可见文本离线估算；84轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 16:53:47,2026-09-15 02:39:02,16.69,2.087,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US022,大V,微调历史知识内容,作为大V，我希望点开历史知识条目继续修改和微调，以便持续优化知识资产。,业务需求,部分实现,知识库,工作台 knowledge,知识条目编辑 + 异步入库已接入；仍缺完整 revision history 与修改审计,否,部分,部分,是,需要,编辑 Agent 可辅助重写、去噪、结构化、加验证节点。,是,已有知识录入与查询，但历史知识的精细化编辑、版本化与回滚仍未完整落地,已存在，更新分批,是,历史内容微调直接对应会议中的历史观点沉淀需求。,MVP核心,Batch 1（1个月内）,P1,需保留来源、版本和修改人,3.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态,部分实现,src/web/api_kol.py；src/domain/knowledge_graph_services.py,2026-07-12 至 2026-09-18,可新增/处理知识，细粒度历史编辑仍需验收。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US023,大V,让知识条目被Hermes引用,作为大V，我希望知识条目可被 Skill 和 Hermes 自动命中，以便输出更像我。,业务需求,已实现,"Hermes,知识库",H5 Hermes,Hermes 工具链已接入 knowledge.search / 向量召回 / 租户知识优先检索，自定义 skill 仍保留 linkedKnowledgeIds 辅助绑定,否,部分,是,是,需要,检索 Agent：query rewrite -> hybrid search -> rerank -> evidence assembly。,是,知识条目已能被 Hermes 正式召回，不再只是前端关键词命中,已存在，更新分批,是,知识被Hermes引用是二期智能体闭环的一部分。,二期,Batch 2（1个月后）,P1,依赖检索、引用和可解释输出,3.0,2026-09-26,2026-09-30,W10 二期预测与知识引用,补齐知识引用、预测配置和结果展示,已实现,src/domain/ai_services.py；src/domain/knowledge_graph_services.py,2026-07-12 至 2026-09-18,Hermes 支持知识检索与引用材料。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US024,平台Admin,管理租户,作为平台管理员，我希望新增和修改租户，以便支持多个大V独立运营。,业务需求,已实现,"Admin,租户",/admin,site_config.tenants -> Postgres app_settings,否,否,否,否,,否,,一个大V就是一个租户,已存在，更新分批,否,一个大V就是一个租户，租户管理是一切交付前提。,MVP核心,Batch 1（1个月内）,P0,需和门户/工作台权限完全一致,3.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,已实现,src/web/api_core.py；templates/admin.html,2026-06-07 至 2026-09-18,Admin 租户管理存在。,229,735,965,项目会话可见文本离线估算；2轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-12 09:44:41,2026-07-29 11:16:19,0.09,0.011,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US025,平台Admin,管理用户,作为平台管理员，我希望新增、导入和查看用户，以便管理粉丝、大V和管理员账户。,业务需求,已实现,"Admin,用户",/admin,/api/admin/users + Postgres users 表,否,否,否,否,,否,,create/import/list 已落地,已存在，更新分批,否,导入和管理用户是首月基本运营底座。,MVP核心,Batch 1（1个月内）,P0,需支撑粉丝导入与后续分层,3.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,已实现,src/web/api_core.py；src/domain/core_services.py；tests/test_fan_dav_relationship_regression_bdd.py,2026-08-13 至 2026-09-18,单页编辑、角色、所属大V下拉与批量导入已实现。,51114,303288,354402,项目会话可见文本离线估算；578轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-20 16:13:24,2026-09-18 23:19:28,48.95,6.118,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,1,BUG-005,2026-09-18,a8f48a9
US026,平台Admin,控制功能开关,作为平台管理员，我希望通过 feature flag 控制 Hermes/预测/工作台等能力开放节奏。,业务需求,已实现,"Admin,配置",/admin,/api/admin/site-config -> Postgres app_settings.site_config.feature_flags,否,否,否,否,,否,,已支持 Hermes 范围约束、角色开放、功能菜单联动等开关,已存在，更新分批,是,会议明确功能要分期和控开，因此开关体系必须先到位。,MVP核心,Batch 1（1个月内）,P0,需支持只读/互动/Hermes分级开关,3.5,2026-06-19,2026-07-08,W1 基础底座,租户/用户/功能控开/合规/数据底座先就位，避免后续返工,已实现,src/runtime.py；src/domain/core_services.py,2026-07-12 至 2026-09-18,功能开关驱动菜单与接口边界。,1725,7023,8748,项目会话可见文本离线估算；20轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-18 11:27:15,2026-09-14 18:51:25,0.84,0.106,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
